#########################################################
418 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 64, GC Duration: 5 ms, GC Couse: G1 Evacuation Pause
418 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 13, GC Duration: 147 ms, GC Couse: G1 Evacuation Pause
419 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 65, GC Duration: 6 ms, GC Couse: G1 Evacuation Pause
419 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 14, GC Duration: 164 ms, GC Couse: G1 Evacuation Pause
#########################################################
Info per interval: 60 s, GC done: 34, GC duration: 1881 ms
#########################################################
421 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 66, GC Duration: 12 ms, GC Couse: G1 Evacuation Pause
421 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 15, GC Duration: 132 ms, GC Couse: G1 Evacuation Pause
425 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 16, GC Duration: 118 ms, GC Couse: G1 Evacuation Pause
